scientific_name,author,gbif_id,plantnet_id,powo_id,iucn_category,common_names
Protium divaricatum,Engl.,7286827,1407683,null,LC,
Protium elegans,Engl.,3993399,1405987,null,LC,
Protium ferrugineum,(Engl.) Engl.,3993372,1486196,null,LC,
Protium gallosum,Daly,3993289,1726036,null,LC,
Protium giganteum,Engl.,7286800,1403761,null,LC,
Protium grandifolium,Engl.,3993107,1406461,null,LC,
Protium guianense,(Aubl.) Marchand,3993081,1406462,null,LC,
Protium hebetatum,Daly,7472009,1831745,null,LC,
Protium heptaphyllum,(Aubl.) Marchand,7286785,1407704,null,LC,
Protium klugii,J.F.Macbr.,3992762,1725115,null,LC,
Protium nitidifolium,(Cuatrec.) Daly,3994116,1725116,null,LC,
Protium occultum,Daly,3994014,1406270,null,DD,White breu
Protium opacum,Swart,7286876,1407690,null,LC,
Protium pallidum,Cuatrec.,3993881,1407691,null,,
Protium pilosissimum,Engl.,3993620,1486231,null,LC,
Protium pilosum,(Cuatrec.) Daly,3993602,1403895,null,,
Protium polybotryum,Engl.,7286824,1830282,null,LC,
Protium rhoifolium,(Benth.) Byng & Christenh.,9696657,1830352,null,LC,
Protium robustum,(Swart) D.M.Porter,3993264,1406463,null,LC,
Protium rubrum,Cuatrec.,3993235,1486241,null,LC,
Protium sagotianum,Marchand,3993226,1407699,null,LC,
Protium spruceanum,(Benth.) Engl.,3993127,1404674,null,LC,
Protium stevensonii,(Standl.) Daly,11108033,1824966,null,LC,
Protium strumosum,Daly,3993109,1406644,null,LC,
Protium subserratum,(Engl.) Engl.,3993075,1407700,null,LC,
Protium tenuifolium,(Engl.) Engl.,7286790,1406464,null,LC,
Protium tonyanum,Daly,10323754,1841484,null,LC,
Protium trifoliolatum,Engl.,3992925,1407702,null,LC,
Protium unifoliolatum,Engl.,7286772,1406742,null,LC,
Protium urophyllidium,Daly,3992860,1486245,null,LC,
Prunus amplifolia,Pilg.,3021832,1833019,null,LC,
Prunus myrtifolia,(L.) Urb.,3021440,1403241,null,LC,West Indies cherry; Myrtle laurel cherry; West Indian cherry
Pseudima frutescens,(Aubl.) Radlk.,3785662,1403460,null,LC,
Pseudolmedia laevigata,Trécul,3764182,1405078,null,LC,
Pseudolmedia laevis,(Ruiz & Pav.) J.F.Macbr.,3764170,1402472,null,LC,
Pseudolmedia macrophylla,Trécul,3764164,1602372,null,,
Pseudopiptadenia psilostachya,(DC.) G.P.Lewis & M.P.Lima,2952915,1405097,null,LC,
Pseudopiptadenia suaveolens,(Miq.) J.W.Grimes,3795236,1404904,null,LC,
Pseudoxandra duckei,Maas,3158221,1455968,null,DD,
Pseudoxandra lucida,R.E.Fr.,3158216,1455970,null,LC,
Pseudoxandra obscurinervis,Maas,3158215,1455971,null,LC,
Pseudoxandra polyphleba,(Diels) R.E.Fr.,3158209,1401593,null,LC,
Psidium acidum,(Mart. ex DC.) Landrum,9497112,1732185,null,,
Psidium acutangulum,DC.,5420626,1404226,null,LC,
Psidium densicomum,Mart. ex DC.,5420633,1606540,null,LC,
Psidium friedrichsthalianum,(O.Berg) Nied.,5420358,1419579,null,LC,Costa Rican guava; Wild guava
Psidium guajava,L.,5420380,1382846,null,LC,Guava; Guave; Common guava; امرود; జామ; Guava Tree; Lemon guava; Yellow guava; Guave Tree; Guyaba; Abas; Goyavier; Guabang; Kautonga; Kuahpa; Guajava; Tropical Guava; Apple guava; अमरुद; Guayaba; جوافة; கொய்யா
Psidium guineense,Sw.,5420509,1382849,null,LC,Brazilian guava; Guinea guava; Guisaro guava; Güisaro; Sour guirao; Wild guava; Willd guava
Psidium guyanense,Pers.,5420620,1606554,null,LC,
Psidium striatulum,DC.,5420580,1404175,null,LC,
Psychotria borjensis,Kunth,2921136,1403361,null,,
Psychotria remota,Benth.,2920637,1403400,null,LC,
Psychotria viridis,Ruiz & Pav.,2921300,1679394,null,LC,Chacruna; Rainha; Chacrona
Pterandra arborea,Ducke,3985477,1592278,null,LC,
Pterocarpus amazonum,(Mart. ex Benth.) Amshoff,5349269,1733583,null,LC,
Pterocarpus officinalis,Jacq.,5349333,1379552,null,NT,Bois mang; Swamp bloodwood; Dragon's-Blood-Tree; Dragonsblood tree; Bloodwood; Dragon Blood Tree; Guadaloupe Dragon's Bloo; Lagunero; Sangre de Drago; Corkwood
Pterocarpus rohrii,Vahl,5349322,1402878,null,LC,
