scientific_name,author,gbif_id,plantnet_id,iucn_category,common_names
Dimorphandra vernicosa,Spruce ex Benth. & Hook.f.,2974301,1726186,LC,
Dinizia excelsa,Ducke,5350072,1405563,LC,
Diospyros bullata,A.C.Sm.,4070306,1536489,VU,
Diospyros capreifolia,Mart. ex Hiern,5832390,1400206,LC,
Diospyros carbonaria,Benoist,4069898,1404199,LC,
Diospyros cavalcantei,Sothers,4071436,1400257,,
Diospyros cayennensis,A.DC.,4071429,1405673,LC,
Diospyros glomerata,Spruce ex Hiern,4070692,1536623,LC,
Diospyros guianensis,(Aubl.) Gürke,6056977,1401600,LC,
Diospyros kondor,B.Walln.,4071064,1536685,LC,
Diospyros manausensis,Cavalcante,4069829,1536722,DD,
Diospyros poeppigiana,A.DC.,4070633,1407233,LC,
Diospyros sericea,A.DC.,4070899,1405559,,
Diospyros tarim,B.Walln.,4070003,1536917,EN,
Diospyros tetrandra,Hiern,4069822,1405674,LC,
Diploon cuspidatum,(Hoehne) Cronquist,2883950,1686692,LC,
Diplotropis brasiliensis,(Tul.) Benth.,5355636,1577211,LC,
Diplotropis martiusii,Benth.,5355620,1577215,LC,
Diplotropis purpurea,(Rich.) Amshoff,5355625,1402832,LC,
Diplotropis rodriguesii,H.C.Lima,5355619,1734578,VU,
Diplotropis triloba,Gleason,5355634,1577221,LC,
Dipteryx alata,Vogel,2947141,1577222,VU,Baru tree
Dipteryx magnifica,(Ducke) Ducke,2947149,1577224,LC,
Dipteryx micrantha,Harms,2947131,1577225,DD,Brazilian Teak; Cumaru
Dipteryx odorata,(Aubl.) Forsyth f.,10779983,1726191,DD,Tonka Bean; Tonka; Tonquin bean
Dipteryx polyphylla,Huber,2947152,1577227,NT,
Dipteryx punctata,(S.F.Blake) Amshoff,2947145,1577228,LC,
Dipteryx rosea,Spruce ex Benth.,2947122,1726192,,
Discocarpus essequeboensis,Klotzsch,5382951,1641701,LC,Sqaure-wood
Discocarpus gentryi,S.M.Hayden,5382949,1641702,LC,
Discocarpus spruceanus,Müll.Arg.,5382950,1641704,,
Discophora guianensis,Miers,8066826,1401876,LC,
Dodecastigma amazonicum,Ducke,3072487,1544619,LC,
Dodecastigma integrifolium,(Lanj.) Lanj. & Sandwith,3072488,1404709,LC,
Dodecastigma uleanum,(Pax & K.Hoffm.) G.L.Webster,3072491,1544620,,
Drypetes variabilis,Uittien,3075850,1401698,LC,
Duckeodendron cestroides,Kuhlm.,4077946,1690576,LC,
Duckesia verrucosa,(Ducke) Cuatrec.,3649066,1419180,LC,
Duguetia arenicola,Maas,3157611,1455070,VU,
Duguetia argentea,(R.E.Fr.) R.E.Fr.,3157506,1455071,LC,
Duguetia asterotricha,(Diels) R.E.Fr.,3157519,1455073,LC,
Duguetia calycina,Benoist,3157484,1401337,LC,
Duguetia cauliflora,R.E.Fr.,3157634,1404877,LC,
Duguetia chrysea,Maas,3157518,1455076,NT,
Duguetia echinophora,R.E.Fr.,3157633,1455084,LC,
Duguetia flagellaris,Huber,3157546,1455086,LC,
Duguetia inconspicua,Sagot,3157500,1401360,LC,
Duguetia latifolia,R.E.Fr.,3157549,1455093,LC,
Duguetia longicuspis,Benth.,3157481,1455095,LC,
Duguetia macrophylla,R.E.Fr.,3157622,1455097,LC,
Duguetia manausensis,Maas & Boon,3157536,1455099,LC,
Duguetia marcgraviana,Mart.,3157573,1455100,LC,
Duguetia megalocarpa,Maas,3157596,1455101,LC,
Duguetia pycnastera,Sandwith,3157545,1401366,LC,
Duguetia quitarensis,Benth.,3157592,1404213,LC,
Duguetia rionegrensis,Zuilen & Maas,3157509,1455119,NT,
Duguetia riparia,Huber,3157543,1406823,LC,
Duguetia spixiana,Mart.,3157492,1455128,LC,
Duguetia stelechantha,(Diels) R.E.Fr.,3157541,1455129,LC,
Duguetia surinamensis,R.E.Fr.,3157522,1401400,LC,
Duguetia tenuis,R.E.Fr.,3157556,1455132,DD,
Duguetia trunciflora,Maas & A.H.Gentry,3157534,1407097,LC,
Duguetia ulei,(Diels) R.E.Fr.,3157588,1455135,NT,
Duguetia uniflora,(DC.) Mart.,3157472,1455136,LC,
Duguetia yeshidan,Sandwith,3157469,1401417,LC,
Duroia eriopila,L.f.,2892091,1403276,LC,
Duroia genipoides,Hook.f. ex K.Schum.,2892079,1403277,LC,
Duroia gransabanensis,Steyerm.,2892133,1672391,NT,
Duroia hirsuta,(Poepp.) K.Schum.,2892105,1672392,LC,
Duroia kotchubaeoides,Steyerm.,3849488,1830754,,
Duroia longiflora,Ducke,2892084,1405466,,
Duroia macrophylla,Huber,2892139,1672397,,
Duroia petiolaris,Spruce ex K.Schum.,2892109,1672404,,
Duroia saccifera,(Mart. ex Schult. & Schult.f.) K.Schum.,2892137,1672407,LC,
Duroia velutina,Hook.f. ex K.Schum.,2892128,1672415,LC,
Dussia discolor,(Benth.) Amshoff,2968227,1402836,LC,
Ecclinusa bullata,T.D.Penn.,2887379,1686698,LR/lc,
Ecclinusa guianensis,Eyma,2887376,1403485,LC,
Ecclinusa lanceolata,(Mart. & Eichler) Pierre,2887358,1718041,LC,
Ecclinusa ramiflora,Mart.,2887362,1403487,LC,
Elachyptera floribunda,(Benth.) A.C.Sm.,5579866,1405007,LC,
Elaeis oleifera,(Kunth) Cortés,8791596,1403306,,American oil palm
Elaeoluma glabrescens,(Mart. & Eichler) Aubrév.,2886343,1718042,LC,
Elaeoluma nuda,(Baehni) Aubrév.,2886352,1406710,LC,
Elaeoluma schomburgkiana,(Miq.) Baill.,2886355,1406153,LC,
Elvasia calophyllea,DC.,3696307,1608476,LC,
Elvasia quinqueloba,Spruce ex Engl.,3696080,1407176,LC,
Emmotum acuminatum,(Benth.) Miers,3597366,1555770,LC,
Emmotum fagifolium,Desv.,3597270,1734594,LC,
Emmotum glabrum,Benth. ex Miers,3597217,1405753,LC,
Emmotum nitens,(Benth.) Miers,7314425,1555776,LC,
Emmotum orbiculatum,(Benth.) Miers,3597147,1555777,LC,
Endlicheria anomala,(Nees) Mez,7969929,1405764,LC,
Endlicheria arenosa,Chanderb.,4176846,1566277,LC,
Endlicheria arunciflora,(Meisn.) Mez,4176810,1566279,LC,
Endlicheria bracteata,Mez,4176746,1566281,LC,
Endlicheria bracteolata,(Meisn.) C.K.Allen,4176724,1401916,LC,
Endlicheria chalisea,Chanderbali,4176647,1566285,LC,
Endlicheria coriacea,Chanderb.,4176562,1566290,EN,
Endlicheria directonervia,C.K.Allen,4176500,1566292,LC,
Endlicheria formosa,A.C.Sm.,4176428,1566296,LC,
Endlicheria gracilis,Kosterm.,4176329,1401917,LC,
Endlicheria krukovii,(A.C.Sm.) Kosterm.,4176111,1566301,,
Endlicheria levelii,C.K.Allen,4176091,1726199,,
Endlicheria longicaudata,(Ducke) Kosterm.,4176054,1400420,,
Endlicheria lorastemon,Chanderb.,4176027,1566303,LC,
Endlicheria macrophylla,(Meisn.) Mez,4175988,1566304,LC,
Endlicheria metallica,Kosterm.,4175940,1566305,LC,
Endlicheria multiflora,(Miq.) Mez,4175910,1401918,LC,
Endlicheria paniculata,(Spreng.) J.F.Macbr.,4175860,1566309,LC,
Endlicheria pyriformis,(Nees) Mez,7775672,1401920,LC,
Endlicheria robusta,(A.C.Sm.) Kosterm.,4175705,1566311,,
Endlicheria sericea,Nees,4175646,1405431,LC,Sweetwood
Endlicheria sprucei,(Meisn.) Mez,4175627,1566315,LC,
Endlicheria szyszylowiczii,Mez,4175606,1400864,LC,
Endlicheria verticillata,Mez,4183444,1566319,LC,
Endopleura uchi,(Huber) Cuatrec.,5541664,1419181,LC,
Entada polyphylla,Benth.,2976278,1402360,,
Entada polystachya,(L.) DC.,2976206,1402361,LC,Callingcard Vine
Enterolobium barnebianum,Mesquita & M.F.Silva,2961143,1577442,LC,
Enterolobium schomburgkii,(Benth.) Benth.,2961163,1402362,LC,
Eperua bijuga,Mart. ex Benth.,2943521,1734595,,
Eperua duckeana,R.S.Cowan,2943520,1734596,LC,
Eperua glabriflora,(Ducke) R.S.Cowan,2943505,1734597,LC,
Eperua grandiflora,(Aubl.) Baill.,10830801,1400562,LC,
Eperua leucantha,Benth.,2943511,1577455,LC,
Eperua purpurea,Benth.,2943531,1577459,LC,
Eperua schomburgkiana,Benth.,2943516,1400564,LC,
Ephedranthus amazonicus,R.E.Fr.,3156206,1405517,LC,
Eriotheca globosa,(Aubl.) A.Robyns,4073732,1403796,LC,
Eriotheca longipedicellata,(Ducke) A.Robyns,4073708,1593751,VU,
Eriotheca longitubulosa,A.Robyns,4073697,1400232,,
Eriotheca surinamensis,(Uittien) A.Robyns,4073558,1407477,LC,
Erisma bicolor,Ducke,7288311,1698300,LC,
Erisma bracteosum,Ducke,5650961,1698302,LC,
Erisma floribundum,Rudge,7288374,1406661,LC,
Erisma fuscum,Ducke,5650956,1698306,EN,
Erisma gracile,Ducke,5650955,1698307,,
Erisma japura,Spruce ex Warm.,5650954,1420842,LC,
Erisma splendens,Stafleu,5650920,1698315,,
Erisma uncinatum,Warm.,5650915,1403713,LC,
Erythrina fusca,Lour.,5349620,1366913,LC,Coral-bean; Purple coraltree; Swamp immortelle; Coral tree; Kaffirboom; Cape Kaffirboom; Sand coker; Swamp Imortelle; Ahuijote; Bucago; Bucayo; Gallito de pantano; Lucky beantree
Erythroxylum amazonicum,Peyr.,3694127,1542029,LC,
Erythroxylum amplum,Benth.,3694045,1401643,,
Erythroxylum campinense,Amaral,3694069,1542063,,
Erythroxylum citrifolium,A.St.-Hil.,7284809,1401645,LC,
Erythroxylum gracilipes,Peyr.,7284849,1407327,LC,
Erythroxylum macrophyllum,Cav.,7870294,1401650,LC,
Erythroxylum mucronatum,Benth.,7284878,1401651,LC,
Erythroxylum spruceanum,Peyr.,3694238,1542213,LC,
Erythroxylum squamatum,Sw.,7284874,1401654,LC,
Eschweilera albiflora,(DC.) Miers,3083278,1407036,LC,
Eschweilera amazonica,R.Knuth,3083305,1567677,LC,
Eschweilera amazoniciformis,S.A.Mori,3083272,1567678,LC,
Eschweilera apiculata,(Miers) A.C.Sm.,3083275,1404437,LC,
Eschweilera atropetiolata,S.A.Mori,3083207,1407037,LC,
Eschweilera bracteosa,(Poepp. ex O.Berg) Miers,3083420,1567687,LC,
Eschweilera carinata,S.A.Mori,3083190,1567689,VU,
Eschweilera collina,Eyma,3083260,1401956,LC,
Eschweilera coriacea,(DC.) S.A.Mori,3083231,1401957,LC,
Eschweilera cyathiformis,S.A.Mori,3083350,1567694,LC,
Eschweilera decolorans,Sandwith,3083328,1401958,LC,
Eschweilera eperuetorum,Sandwith,3083252,1567695,LC,
Eschweilera grandiflora,(Aubl.) Sandwith,3083408,1401959,,Monkey pot
Eschweilera laevicarpa,S.A.Mori,3083332,1405243,LC,
Eschweilera micrantha,(O.Berg) Miers,3083320,1401960,LC,
Eschweilera obversa,(O.Berg) Miers,3083334,1567714,LC,
Eschweilera ovalifolia,(DC.) Nied.,3083227,1567715,LC,
Eschweilera ovata,(Cambess.) Mart. ex Miers,3083384,1567716,LC,
Eschweilera parviflora,(Aubl.) Miers,3083298,1401961,LC,
Eschweilera parvifolia,Mart. ex DC.,3083262,1404150,LC,
Eschweilera pedicellata,(Rich.) S.A.Mori,3083423,1404420,LC,
Eschweilera pseudodecolorans,S.A.Mori,3083212,1567723,LC,
Eschweilera rankiniae,S.A.Mori,3083337,1567726,EN,
Eschweilera rhododendrifolia,(R.Knuth) A.C.Sm.,3083354,1567729,VU,
Eschweilera sagotiana,Miers,3083341,1401963,LC,
Eschweilera subglandulosa,(Steud. ex O.Berg) Miers,3083307,1401962,LC,
Eschweilera tenuifolia,(O.Berg) Miers,3083191,1567738,,
Eschweilera tessmannii,R.Knuth,3083383,1567739,LC,
Eschweilera truncata,A.C.Sm.,3083360,1567741,LC,
Eschweilera wachenheimii,(Benoist) Sandwith,3083225,1405250,LC,
Esenbeckia cowanii,Kaastra,5593133,1405159,,
Esenbeckia pilocarpoides,Kunth,7269624,1403438,LC,Pilosefruit Esenbeckia
